Date,MKT_RF,SMB,HML,MOM,RF
2008-04-01,0.07996646632947146,0.0,0.0,0.0,-0.000282461790450661
2008-05-01,0.007331670560589032,0.0,0.0,0.0,0.0013067933755745997
2008-06-01,-0.08236372331895558,0.0,0.0,0.0,0.0024901523928166913
2008-07-01,-0.03324605763399879,0.0,0.0,0.0,0.001680038884638968
2008-08-01,-0.01728304821117166,0.0,0.0,0.0,0.0005678177283656716
2008-09-01,-0.1277576923132976,0.0,0.0,0.0,0.005147958408690867
2008-10-01,-0.18174347892227194,0.0,0.0,0.0,-0.002320264970159358
2008-11-01,-0.0874055224997422,0.0,0.0,0.0,-0.00015767538869271291
2008-12-01,0.05450036114739887,0.0,0.0,0.0,0.00015149398607539055
2009-01-01,-0.11696451699202848,0.0,0.0,0.0,0.00314569438739265
2009-02-01,-0.09689172261964818,0.0,0.0,0.0,-0.00021883779687736915
2009-03-01,0.09217830225983903,0.0,0.0,0.0,-4.290484243529846e-05
2009-04-01,0.1271906004231389,0.0,0.0,0.0,0.0005889271949659491
2009-05-01,0.10467686952451771,0.0,0.0,0.0,0.00017456695331996563
2009-06-01,-0.022836165074439863,0.0,0.0,0.0,-0.00010987081867541715
2009-07-01,0.10349679215337892,0.0,0.0,0.0,-0.0005662415428693279
2009-08-01,0.02900101586026116,0.0,0.0,0.0,0.0006758989486443934
2009-09-01,0.048373454633074964,0.0,0.0,0.0,0.00026221031436257647
2009-10-01,-0.027037185690991006,0.0,0.0,0.0,4.367337463362375e-05
2009-11-01,0.05436505024274507,0.0,0.0,0.0,-0.00039243525071674945
2009-12-01,0.011724292634935463,0.0,0.0,0.0,0.0002399325877615599
2010-01-01,-0.04671397489225382,0.0,0.0,0.0,8.695089949584123e-05
2010-02-01,0.0219409158273165,0.0,0.0,0.0,-0.00021796634461823672
2010-03-01,0.06329438093444173,0.0,0.0,0.0,0.0
2010-04-01,-0.0018624858660228893,0.0,0.0,0.0,-0.00043623043791796157
2010-05-01,-0.09419330338856413,0.0,0.0,0.0,0.0004364208179625795
2010-06-01,-0.04444794010507058,0.0,0.0,0.0,0.0002180138643033125
